item_name,item_description,id
cdcr841 readmission score sheet1oo pk ,cdcr841 readmission score sheet1oo pk ,6979
equipment maintenance,the contractor shall provide maintenance and repair services for 1 antonpaar density meter with xsample 52 instrumentation,6980
boiler,13602044 boiler lizard vci boiler dry layup treatment,6981
magnifying headband,magnifying headbandrepalcement lens,6982
computer warranties,computer warranties,6983
mountin bracket adapter,mounting bracket adapter needed to install mobile radios in to emergency vehicles,6984
ketchup,ketchup,6985
restroom supplies,restroom supplies,6986
rooster pheasants,rooster pheasants,6987
tool,tool corning c cleaner port lc for lc keyed lcmu connectors bothupc and apc,6988
c type valve spring compressorcf811b,c type valve spring compressorcf811b,6989
ruger mini 14,ruger mini 14223 ss syn 20rd,6990
measurement standards,janitorial services at 6790 florin perkins roadsuite 100sacramento,6991
fireeye dynamic threat intelligence nx 10450,fireeye dynamic threat intelligence nx 10450 4g 2way 1y,6992
boot hi top,boot hi top,6993
kra2423pboroll cab73 inch17 drawerred,kra2423pboroll cab73 inch17 drawerred,6994
wrist rest,gel wrist rest,6995
temporary relief psychiatry services,temporary relief psychiatry services,6996
consulting services agreement with a jpa,the contractor will assist the california department of education cde special education divisionsedin developing and providingtrainingtechnical assistanceand expertise on compliantindividualized education programsiepsaligned to the califo,6997
overage per copy 0079,overage per copy 0079,6998
surflan,herbicide,6999
address labels,address labels,7000
sharp copier,one sharp copier,7001
stock parts,stock tires,7002
misc binder clips lg med sm,misc binder clips lg med sm,7003
fire sprinkler system,fire sprinkler system,7004
software,ms office pro,7005
pinto beans,dry pinto beans,7006
finance charges,finance charges,7007
print cartridgetricolor hp 22,print cartridgetricolor hp 22for hp 4315,7008
amendment to exercise the option to extend,amended to exercise the option to extend the term an additional 3 months,7009
provide deaf access program services,provide deaf access program services for deaf and hard of hearing persons,7010
legal services,ongoing litigation services,7011
pitney bowes 18 table extension,pitney bowes 18 table extension,7012
maintenance,maintenance for sharp copiers8,7013
bulldozer rental,rented dozer for fire use to cover being state resources out of area,7014
waste basket,desk side plastic waste basket,7015
financial advisory services,financial advisory services,7016
cradlepoint arc cba750b wireless router,network maintenance,7017
label file fldr 252 pk dbe,label file fldr 252 pk dbe,7018
prevention institute,health equity summitrfp #1210498,7019
ard5133nt surge protector120v15amp ,ard5133nt surge protector120v15amp ,7020
bulk utf,bulk tractor fluid,7021
fuel for equip 14r296,fuel for equip 14r296,7022
winsvrent alng licsapk mvl,winsvrent alng licsapk mvl,7023
ricewhite,ricewhite,7024
office trailer,mobile trailers to provide office space for fire personnel on monticello incident,7025
ac power cord for catalyst 3kxnorth america ,ac power cord for catalyst 3kxnorth america ,7026
dell pv md 12003tb storage,dell pv md 12003 tb storage,7027
personnel,liaison officer trainee for imt # 5,7028
alarm system monitoring,contractor to provide 24 hours per day alarm system monitoring servicesfor the yountville veterans home pharmacy dept,7029
apc smartups x 1500va rack tower lcd 120v,apc smartups x 1500va rack tower lcd 120v,7030
crushed aggregate base,class ii road base,7031
3 500 sheet large capacity paper tray,3 500 sheet large capacity paper tray #mxlc11,7032
pears,fresh produce,7033
post office box service feepo box 989063,post office box service feepo box 989063returned disbursement ,7034
tiburcio vasquez health center,provide comprehensive case management services,7035
flushable wipes,flushable wipes,7036
assitive tech device it,zoom text magnifie reader usb 68500 topaz xl hdhigh defininition cctv 24349500 roby xl hd handhel video magnifier 89500 enhanced support package for zoom text 29300ewaste700,7037
compvacuummojave dry v3 air techniques,compvacuummojave dry v3 air techniques,7038
gfx amd forepro m4000,cpu,7039
fuel for equip 14r109,fuel for equip 14r109,7040
split lock washer,,7041
pc maintenance,pc maintenance,7042
turkeybreast no salt,turkeybreast no salt,7043
medical supplies,wipes briefs sponges,7044
business internet d50 package,business internet d50 package,7045
super tab colored file folders 1 3cutltr,super tab colored file folders 1 3cutltr,7046
orange juice frozen,orange juice frozen,7047
network subscription,network subscription,7048
fuel for equip 10r122,fuel for equip 10r122,7049
wa probe assyoral 9ft 02678100,wa probe assyoral 9ft 02678100,7050
pencil recyc mech 07mm,pencil recyc mech 07mm,7051
fuel for equip 02s034,fuel for equip 02s034,7052
install lighting,contractor to install lighting and modify guardrail,7053
logitech keyboard and mouse combo,keyboard mouse combo,7054
locking lever keyboard arm,locking lever keyboard arm,7055
airsis satellite telemetry system,airsis satellite telemetry system,7056
toilet seat covers,toilet seat covers,7057
folder,folders,7058
rod connecting,rod connecting isxo,7059
binding coilspiral41 pitchwhite6mm100 pk,binding coilspiral41 pitchwhite6mm100 pk,7060
intercom equipment,intercom equipment,7061
ansell hyflex lite glovessize 89,ansell hyflex lite glovessize 89,7062
bricklayer hammer 24 oz 6euy3,bricklayer hammer 24 oz 6euy3,7063
watercolorprimary colors set,watercolorprimary colors set ,7064
streamlight led flashlight,led light,7065
temporary relief clinical laboratory scientist,temporary relief clinical laboratory scientist,7066
highway safety caps,safety hats,7067
annual healthsafety field refresher tier 2 training,annual healthsafety field refresher tier 2 training,7068
toner cartridge,toner cartridge black q6470a,7069
solvent industrial chesterton 801 55 gl,solvent industrial chesterton 801 55 gl,7070
fuel for equip 26r140,fuel for equip 26r140,7071
set up fee,set up fee,7072
mi100entalm0651 accela land management,mi100entalm0651 accela land management,7073
kosher meals,kosher breakfast,7074
mapping services,mapping services for on going firehunterscammu 008974,7075
fire engine,type 3 fire engine,7076
medical supplies,1 2 cs 12361 gauze pkg strip idoform 1 2x5 yd602505 2283 45662 6 bt siemens multstix ref2162 6052 363123 54 car 12437 mask surgical earloop 1561 842944 24 box 43456 bandages plastic 3 4 183 43925 32 box optifoam mcs1133f 1264 404486 6,7077
good grip coated teaspoon,good grips coated teaspoon,7078
co 003,co 003time extension of 3 calendar days,7079
report coverspressboardtop loadingprong clip 2 capacityletterred,report coverspressboardtop loading prong clip 2 capacityletterred,7080
lead pencil7mmhb12 pk,lead pencil7mmhb12 pk,7081
dental supplies,needles anesthetic burs,7082
brn board meeting in northern california,brn board meeting in san francisco,7083
blower motor trane,blower motor trane,7084
mustard,mustard,7085
module output analog albrdly #1769of2,module output analog albrdly #1769of2,7086
nursing services,temporary relief certified nursing assistant service,7087
kitbolt 10 w gaskets,kitbolt 10 w gaskets,7088
electronic claim service,the purpose of this agreement is to delineate responsibilitiesrelated to the implementation and production of a statecontrollers officescopayment delivery system for the foodvendor program medical registry utilities this agreeme,7089
wall plate,multiformat wall plate trans wh bl ,7090
5 5 5 sff warranty,one15 5 5 sff warranty,7091
misc for equip 10r126,misc for equip 10r126,7092
forensic instructor,contractor shall provide instruction for dna extraction andquantitationfor the bureau of forensic servicescaliforniacriminalistics institute,7093
copy paperuniversal30 recycledwhite20lb,copy paperuniversal30 recycledwhite20lb,7094
wickwison,iwkswison uscan,7095
contractor to provide copies of transcripts on court proceedings at oah,contractor to provideon an asneeded basiscopies of transcripts oncourt proceedings held at the office of administrative hearings contractor is the primary transcript provider assigned by the office ofthe administrative hearingoahfor the centr,7096
hardware support,hardware support,7097
pan carriers,pan carriers,7098
potatoes,potatoes,7099
howard miller wall clock25year service award,howard miller wall clocklaconstance johnson,7100
pudding banana,pudding bananainstant pie fillingadd water,7101
hp cyan toner,hp cyan toner,7102
property tags,property tags,7103
screw cap hex,screw cap hex,7104
janitorial service for delano dmve,contractor to provide janitorial services for the dmv field office in delano,7105
high end colume maintenance taxable,copier maintenance,7106
hp latopsdocking stationewaste fee,hp latops and docking station,7107
ctw unit 404 building flooring,contractor shall supply all personnelbondslaborprevailing wagetoolssuppliesmaterialsequipmentinsuranceincidentals andproperly equipped service vehicle snecessary to install approximately3 280 square feet of sunbelt flooring i,7108
medical forms,cdc 7293 cdc 7225,7109
vocational rehabilitation,vocational rehabiltation,7110
prescription pad,prescription pad,7111
30 eagle corr pe plain end pipe,30 eagle corr pe plain end pipe,7112
black pebble matting,black pebble matting 3x121 4,7113
am16 retro commissioning of statewide buildings and facilitiescapitol area,am16 retro commissioning of statewide buildings and facilitiescapitolareagroup 1 region board of equalization building,7114
porta cool coolers,portacool coolers,7115
bradley sink flow controller35gpm#269059,bradley sink flow controller35gpm#269059,7116
12gb ddr316006x2gb1cpu ramsupported only with single i ,ram,7117
furnishings storage files misc,furnishings storage files misc,7118
halal beef and chicken,halal beef and chicken,7119
14120,elevator modification,7120
inview dashboardsingle unit onlydm 300connect ,inview dashboardsingle unit onlydm 300connect ,7121
document authentication deviceshardwaresoftwareand technical support,document authentication deviceshardwaresoftwarestandard warranty maintenancetechnical troubleshooting manualand library subscription,7122
fuel,to provide fuel for emergency vehicles for the department,7123
ca application performance management maintenance support renewal terms 3 29 15,ca application performance management maintenance support renewal terms3 29 153 28 16,7124
tipfingerambersz11,tipfingerambersz11,7125
plow parts,moldboards and plow parts,7126
various engineering parts,3f326 insulated flexible duct180f5000 fpm 12 5x481 vbeltb103,7127
nvidia quadro 2000 1gb graphics 1st card,graphic card,7128
los angeles unified school district,installing bioswalesinfiltration galleriesand pervious pavement atmarkham middle school,7129
operation care,contractor to conduct activities related to rape prevention and education,7130
office suppliesvairous ,cspsan quentin receiving warehouse purchase order forrecordablediskwedge cap eraserdry erase marker envelopesorder for fy 12 13,7131
administrative fee,administrative fee,7132
firefighting bulldozers,amendment 1option to increasefirefighting bulldozers in accordance with dept of forestry and fire protection specificationifb # 6xfy 13 14 dated january 2014,7133
cabling supplies,cabling supplies,7134
ant roach killer,ant roach killer,7135
lanyards,lanyards with black metal swivek snap hook and breakaway safety,7136
business objects software renewal,business objects software,7137
testing reagents,testing reagents,7138
casecarrying,casecarrying,7139
screwmodified eye attaches bail,screwmodified eye attaches bail,7140
fuel for equip 14r237,fuel for equip 14r237,7141
tools,tools pvc heaterportable generatoretc,7142
bulk food,bulk food open order,7143
bagsliner,24 x 24710 gallonclear1000 cs,7144
state agency,income and eligibility verification data processing,7145
meraki mx80 ent licsup 1 yr,meraki mx80 ent licsup 1 yr,7146
streamerfoggerrear steel sightfront steel sightdot night sights,streamerfoggerreal steel sightfront steel sightdot night sights,7147
tortillasflourcorn,tortillasflourcorn,7148
order #12ms0731se,batching miscellaneous food contract vendor invoices,7149
tractor transport,transport a dozer for fire suppressioon on the cocos incident,7150
idrac7 enterprise,4215339,7151
automated external defibrillatoraedmachines,automated external defibrillatoraedmachines to include medical direction,7152
misc for equip 10r082,misc for equip 10r082,7153
fuel for equip 26r020,fuel for equip 26r020,7154
water tender,hired equipment for going firebully firecashu 006248,7155
tomatos,tomatos,7156
pudding,puddingchocolate and vanilla,7157
towel paper brown,paper towel brown,7158
chicken,chickenmuffinsbiscuitsdessert cup,7159
storeroom knobs,storeroom knobs,7160
gluclose gel tubes 31 grams3 pk,gluclose gel tubes 31 grams3 pk,7161
mens watch,mens watch25 year servicegold8,7162
misc gate operater parts,outlet plate coversdriversswitch spacershingesmotor and gear boxassemblyspur gearrocker releaseplunger pinsmotor mounts etc,7163
container cargo steel used 48,container cargo steel used 48,7164
yellow cake mix,yellow cake mix,7165
soft nitrile gloves,soft nitrile gloves,7166
amd # 9 extend agreement 12 months additional,amend agreement 12 months additional,7167
tires and tubes,tires for state vehicles used on eiler fire cashu006933,7168
badge repair,badge repair for investigations,7169
expert witness,this is a contract for the services of an expert witness,7170
pickup rental,pickup rental on going fire,7171
clear plastic food wrap,clear plastic food wrap,7172
nfpa trousersorg lg,trsrnfpaorg362lg regtencate,7173
platemld stl 48x96x1 4,platemld stl 48x96x1 4,7174
pad sst4x6 5pk lnd ast,pad sst4x6 5pk lnd ast,7175
moducom dual trctriii trctrc mode ,moducomdual trctriii trctrc mode ,7176
rechargeable razors,rechargeable razors,7177
lab supply,prepfiler auto kit w plastics,7178
professional conference and event planning services,csus college of continuing education will provide professional conference and event planning services for a total of four4leadership workshops that dwr will host to promote improved collaboration among water resources stakeholders involved in the irwm,7179
hvac maintenancerepair,hvac maintenancerepair services at chp el cajon area office,7180
office furniture,desk bridge credenza hutch file cabinet table bookcases,7181
2 x 2 pxm brz male adpt,2 x 2 pxm brz male adpt,7182
cpr provider cards,cpr provider cards,7183
psychological screening services,services provided for the chp cadet hiring unit,7184
antifoam and neutralizing soda ash,pn 4100012,7185
computer hardware,top rack switches,7186
expert witness,withheldsome or all of the information in this contract isexempt from disclosureif you need informationcontact department,7187
fuel for equip 02s059,fuel for equip 02s059,7188
service order provide shredding of sensitive documents at 1000 corporate center,service order provide shredding of sensitive documents at 1000corporate center drivemonterey park ccld office,7189
incident personnel,incident personnel,7190
open wide mouth props,open wide mouth props,7191
porta shield #br61743,porta shield #br61743,7192
boostvhc,27 8oz cs,7193
wsgaqcp12r web security gateway,wsgaqcp12r web security gateway,7194
index dividers,dividers,7195
blanket po for nutritional supplements,blanket po for nutritional supplements,7196
#8 paper bags,#8 paper bags,7197
contract,scholarship,7198
domain renewal24 months,domain renewal24 months,7199
fuel for equip 10r160,fuel for equip 10r160,7200
fuel for equip 26r065,fuel for equip 26r065,7201
p215 75r15 hankook optimo h724 tires,p215 75r15 hankook optimo h724 tires,7202
recycled river rock int ext semi gloss,recycled river rock int ext semi gloss,7203
single vault concrete restroom,inperial single vault restroom facilitycomplete with one concrete vaultand all signagelocksgrab barstoilet riserslexan windowsetc to make up a complete oneroom vault restroom facilty set up,7204
o ring,o ring,7205
adapter pad for ellison machines,adapter,7206
annual copier maintenance,annual copier maintenance for 38 copier machines,7207
solarwinds netflow traffic analyzer module,for solarwinds network performance monitor sl2000 license plus 1 yr maintenance,7208
pager services,continued pager services for one pager,7209
eye wash bottle,eye wash bottle,7210
housekeeping supplies,housekeeping supplies,7211
kbd supt tray slid mouse 22,kbd supt tray slid mouse 22,7212
chickenbonelessstrip,boneless chicken strips,7213
hp docking station cable lock,docking station cable lock,7214
ibm rational test workbench floating user,ibm rational test workbench floating user,7215
fire retardant,fire retardant,7216
various cpap accessories masklot ,nasel gel masktubingchin strapsetc,7217
apple care protection plan for imac,apple care protection plan for imac,7218
chemicals for weed control on wildlife areas,weed killer for wildlife areas in region ii,7219
ipex ultralite vieoscope,wbatteries and charger,7220
hp officejet 150 mobile printer allinone multifunction,hp officejet 150 mobile printer allinone multifunction,7221
collier pamphlet edition2015 editioncomplete set ,collier pamphlet edition2015 editioncomplete set ,7222
motorola impres multi unit charger model# wpln4108br,motorola impres multi unit charger model# wpln4108br,7223
block bearing,block bearing,7224
acorn restrictor 2312003001,acorn restrictor 2312003001,7225
housekeeping supplies,glass cleanerscell blockfloor strippersspray bottleskpdegreaserscotton washsaniguardfirst watch micro enzyme cleaner dish potpan detergent,7226
vacuum,windsor sensor xp 12 vacuum,7227
fencing,fencing repair,7228
panasonic rpht227 stereo headphone,panasonic rpht227 stereo headphone,7229
finisher,l5300b oettt000 finisher,7230
index ltr jandec col wht,index ltr jandec col wht,7231
macbook,macbook pro 13inch with applecare protection plan,7232
1 2 professional composite impact wrench,craftsman 00919865000,7233
security guard,unarmed security guard service,7234
ice machine cleaner,ice machine cleaner,7235
amendment no 2,term extension,7236
h81plantronicsheadset,h81plantronicsheadset,7237
data center management software configuration base system,data center,7238
support equipment,equipment to support firefighting operations,7239
500 acorn water diaphragm,plt ops order,7240
amendment #4,increase contract total 92 32800 to 3 545 16000 and extend workcompletion date 39 calendar days to june 272013 contract terms enddate remains the same,7241
samsung ml5515 high volume laser printer,printer,7242
western digital my passport ultra 1tb hdd,western digital my passport ultra 1tb hdd,7243
trash pickers,trash pickers,7244
ammunition 12ga shell slug 12ga 1oz,ammunition 12ga shell slug 12ga 1oz,7245
25 year award,for chris enright,7246
brine valve body,brine valve body,7247
shoemens lace #s10103,shoemens lace #s10103,7248
4 yr basic hardware service,4 yr warranty,7249
guardrail,guardrail,7250
bulb rough service ecu3254,bulb rough service ecu3254,7251
expert witness testimony,provide expert witness testimony,7252
regional response plan assessment,regional response plan assessment,7253
microban kybd smart split design 111key,microban kybd smart split design 111key,7254
osha reviewrenewal,2014,7255
consulting services,the firm will provide technical consulting services in connection withmodifications to and implementation of caeatfas ste program as recentlyamended by sb 1128padilla2012to include advanced manufacturing,7256
legal services,interagency agreement for legal services,7257
dissecting shears,fisherbrand shears for dissecting,7258
trash collectionhaulingand disposal services,provide oncall as needed trash collectionhaulingand disposalservices for alameda and heliotrope mtce station in la county,7259
co 086,co 086,7260
basic imaging,imaging,7261
6074drug kitstest dlsd,6074drug kitstest dlsd,7262
water pump,water pump,7263
foammk9,foam mk9,7264
howard miller wall clock,25 year anniversaryhoward miller wall clock,7265
sas visual analytics,sas visual analytics for a distributed production environment with 64coreslinaannual maintenance renewal for site 659756,7266
50t 220v ironworker,50t 220v ironworker,7267
dfg support at suisun marsh,the department of fish and gamedfg baydelta region 3 will providethe department of water resourcesdwrwith biological and technicalsupport services for a variety of tasks associated with the suisun marshand its protection to meet the goals de,7268
scrap basket,scrap basket,7269
york chillers maintenanceinspectionrepair services,york chillers maintenanceinspectionrepair services,7270
dozer,dozer for construction line,7271
bowl dolly w handlecompatible for 6080 140 qt bowls ,bowl dolly w handlecompatible for 6080 140 qt bowls ,7272
lamp recycle kit,lamp recycle kit,7273
glove handguard plastic,glove handguard plastic item #802,7274
chilled fog incubator with in line uv filter,chilled fog incubator used for hatching salmon eggs,7275
accrued tire surcharge,accrued tire surcharge,7276
projectlevel eir eispreliminary for fresno to palmdale,prepare the federal and state environmental documents as well as preliminary engineering for the fresno to palmdale corridor,7277
cabinet,cabinet,7278
boost breezewild berry,27 8oz cs,7279
tuff shed,10x12 shed w security door and upgraded roof,7280
assembly rules committee,assembly rules committee shall secure a contractor to perform servicesfor the upgrade and certify fire life safety for the legislative office building,7281
portable toilets,to provide portable toilet for health and safety for firefighters on a going fire,7282
lancets,safety lancets,7283
pipe thread drive kit,pipe thread drive kit,7284
back support belts,clc custom leather craft elastic back support belt#clc2015000l,7285
to facilitate local capacity for the preventioncontrol of ctstds,to facilitate local capacity for the preventioncontrol of ct and stds,7286
airgas,airgas,7287
hats cap style,hats cap style,7288
mail opening equipment maintenance,mail opening equipment maintenance,7289
traffic signal,traffic signal parts,7290
isomeris arborea,isomeris arborea,7291
peanut butter crackers,crackers,7292
new itemreplacement ink roller # 48124,new itemreplacement ink roller # 48124,7293
key blanks,key blanks,7294
shipping and inside delivery charges for copy paper,shipping and inside delivery charges for copy paper,7295
needs assessmnet for spil,needs assessment for state plan faor independent living council,7296
gelatin,gelatin,7297
liquid oxygen,liquid oxygen,7298
chainsaw bar,stihl chainsaw bar,7299
spray in bedliner,dealer supplied spray in bedliner,7300
syrup,syrupmaplesugar free,7301
repair parts for the waste water treatment plant,repair parts for the waste water treatment plant,7302
respirator mask,respirator mask,7303
lamp ballast,lamp ballast,7304
hp toner black,hp toner blackc9730a,7305
psychological testing materials,psychological testing materials,7306
service contract,discovery site investigate at the pacific aluminum site,7307
community services block grant,contractor agrees to continue to provide services and activities toeligible participants residing in contractors assigned service area pursuant to california government code section 12725 et seqand 42united states codeusc9901et seqas amended,7308
standard envelope,standard envelope,7309
resource thicken upclear,12 44oz cs,7310
epod dispensing console,epod dispensing console,7311
dozer,dozer,7312
envelopes#10plainqty 25 000,envelopes#10plainqty 25 000,7313
defensive tactics instructorinstructor refresherinstructor updates,instruct defensive tactics instructorinstructor refresherandinstructor updates to state park peace officers,7314
catalyst 3850 48port full poe ip base,catalyst 3850 48port full poe ip base,7315
hp 5 year next business day onsite support,only hw support,7316
book voice mail message,book voice mail message,7317
employee self service with online sign ups,software,7318
firewalls,cisco asa 5510 firewall editionsecurity appliance 0 15 portsethernetfast ethernet1urackmountable,7319
60 mm soccer nets #206,60 mm soccer nets #206,7320
uniball grip roller ball pen,micro pt blue ink,7321
emissions study,uc davis will measure the mass and composition of particles emitted fromheavyduty trucks,7322
maintenance,calnet 2 identifier for goldplus maintenance service 1 yearincludingequipment warrantyadvance parts replacement software updates onsite supportsystem monitoring help desk support 500am500pm pst mf,7323
spare tire wheel and jack,spare tire wheel and jack,7324
bodydrain valve,bodydrain valve #289465,7325
bread20 wheat,bread20wheat,7326
fuel for equip 10r116,fuel for equip 10r116,7327
case computer catalog bk,case computer catalog bk,7328
grease lub,lube items for going fire,7329
expert witness testimony,expert witness testimony servicesbased on sexually violent predator evaluations,7330
hp 3800 y toner,yellow toner,7331
recycle cart 800 lb capacity,recycle cart,7332
unipuck,unipuck tool for telecom fiber optic,7333
carts and bins,carts and bins,7334
glucerna vanilla,glucerna vanilla,7335
lister,piece of equipment for proper farm practices,7336
desc repair engine,repair engine,7337
lgp propane,lpg propane,7338
virtual san,virtual san vmware software and software maintenance for 3 years qty 6,7339
paper grocery bags 8 1 4 x 6 1 8 x 15 7 8,bags,7340
labelmaillsr5x175,labelmaillsr5x175,7341
papergreatltr20#rcywe,papergreatltr20#rcywe,7342
software support,contractor to provide software support,7343
dell latitude e6440 laptop with charging dock and webcam,dell latitude e6440 laptop with charging dock and webcam,7344
refrigerate stickers,refrigerate stickers,7345
11 2 x 4 pipe nipple,11 2 x 4 pipe nipple,7346
am910 career tech education centerschool for the deaf3044 horace streetr,am910 career tech education centerschool for the deaf3044 horacestreetriversideriverside countyca,7347
hot dog bun,hot dog buns,7348
c2x38us#abadesktop computerhp compaq elite 8300,c2x38us#abadesktop computerhp compaq elite 8300,7349
fiber optic coupler panel24 port,fiber optic coupler panel24 port,7350
installation and testing of hasler smart track software,installation and testing of hasler smart track software,7351
5 3 8 x1 3 8 adhesive pocket,5 3 8 x1 3 8 adhesive pocket,7352
digital copier,copier printer scanner with paper trayspost script expansion kit,7353
right side exit trayfor incoming faxes ,right side exit trayforincoming faxes ,7354
cd folder file,file folder for cd,7355
snickerdoodle cookies,snickerdoodle cookies,7356
columbia housecolumbia mercantile material,flooringwoodenlumbertonguegroove aqua vapor barrier bostich flooring staplesmonocoat oilwax flooring finishmonocoatrefresh literstripping and application pads,7357
installation of air conditioningacheating unitair ductsventselectrical,installation of air conditioningacheating unitair ducts ventselectrical componentsgas components exterior interior finishwork and removal of old units in los angeles county installation of ac heating unitair ductsventsthermostats ,7358
mdo forensic evaluation services,this agreement provides mdo forensic evaluation services for inmatesreferred by cdcr to determine if they meet the criteria of an mdo andwill require treatment at a dsh facility for public safety,7359
aed navigator renewal of medical direction,aed navigator renewal of medical direction,7360
terminalssplices,terminalssplices,7361
bull dozer transport,transport to take bull dozer to fire swedes fire cabtu010969,7362
micro trend trueup fees,micro trend trueup fees,7363
batterylich power ,batterylich power ,7364
provide inspectionstesting and servicing of fire protection equipment,inspecttest and service fire protection equipment to maintaincompliance with all regulatory agencies,7365
fuel for equip 14r172,fuel for equip 14r172,7366
scissorsecon8 str ss u1413,scissorsecon8 str ss u1413,7367
exo2 sonde10meter depth6 sensor port,exo2 sonde10meter depth6 sensor port,7368
memory from cisco,ram from cisco 24 ea x 16gb 6 ea x 8gb 16 ea x 4gb,7369
amtek 5 yar nbd onsite warranty,amtek 5 yar nbd onsite warranty,7370
breadwheat 2slice package,breadwheat 2slice,7371
lexmark mx711,includes ipds cardsextended warranty,7372
bissell cleanview vacuum with onepass technologymodel # 9595,bissell cleanview vacuum with onepass technologymodel # 9595,7373
labels,avery shipping labels 2 x 4 250 per box,7374
software license,on demand migration for email per migrated mailbox license 24x7 maintenance,7375
fax machine repair,fax machine equipment repair services at ccwf,7376
extended warranty,hp care pack 5 year warranty,7377
type lhard length3 4in x 10ft,type lhard length3 4in x 10ft,7378
air storage cylinders,air storage cylinders,7379
sodium chloride solutions,sodium chloride solutions,7380
margarinereddies90 lb 12lb cs,margarine,7381
avaya transceiver,module,7382
trn amey n prot relay maint basic,trn amey n prot relay maint basic,7383
aquamarine whistles,orange aquamarine whisle,7384
fire extinguisher service,fire extinguisher service,7385
heat exchangergarner denver,heat exchangergarner denver,7386
refuse collection services,refuse collection services,7387
hand sanitizer,hand sanitizer,7388
shirts orange 5xl,shirts orange 5xl,7389
4 x 8 x 1 2 flat expanded metal #13,4 x 8 x 1 2 flat expanded metal #13,7390
printer maintenance agreements,60 month high volume maintenance agreementibank,7391
brass sleeve,brass sleeve,7392
red tempura washable,red tempura washable,7393
bic pens,bic pens,7394
office depot brand 100 recycled perforated writing pads8 1 2 x 11 3 450 s,office depot brand 100 recycled perforated writing pads8 1 2 x11 3 450 sheets whitepack of 6 pads,7395
dental supplies,gloves,7396
fuel for equip 06s097,fuel for equip 06s097,7397
food packaging,food packaging,7398
toners,hp 05a toner,7399
4 wheel walker,4 wheel walker w seat and hand brakeselbow bracethigh high hoses lotion unna boots etc,7400
8gb ddr31600 4x2gb 1 cpu ram,ram,7401
access control system update,the contractor will provide csh with update of software and controller serveretc of the access control system,7402
safety glassesclear 4t513,safety glassesclear 4t513,7403
shredder bags#0922,shredder bags#0922,7404
glasses safety clear,glasses safety clear,7405
kubota utility vehicle,utility vehicle,7406
ell connector kit,ell connector kit,7407
beef salisbury,beef salisbury patty,7408
science report,science report,7409
sever hardware,server hardware,7410
antenna mount kitcable kitbattery charger,antenna mount kitcable kitbattert charger,7411
state cost of samsung galaxy s4 32gb black,phone,7412
epsoncapture one scanner,epson tms1000capture one scanner,7413
calendarhistoric2015#1453011520,calendarhistoric2015#1453011520,7414
spectrum radio,spread spectrum radio for enclosure for installation of wirelesscommunications to seismic instrumentation,7415
fire supplies,fire supplies,7416
beans,green beanbroccolipea and carrotoinion diced,7417
fuel for equip 02s339,fuel for equip 02s339,7418
fuel for equip 04s263,fuel for equip 04s263,7419
trash can liner,trash can liners,7420
truck with mounted personnel hoist,truck withmounted 38foot telescopic personnel hoist utility body and equipment in accordance withstate of california specification #01283032112aand including the following optionsoption #1 diesel engineoption #7 cable reeleg ideg,7421
sharp copiers,sharp copiers3,7422
tuna,tuna fish,7423
fuel for equip 13r258,fuel for equip 13r258,7424
shredder oil,mbm destroyit paper shredder oil 1 pint4 bottles per pack,7425
triplicate cdcr0128mh03,triplicate cdcr0128mh03,7426
service vehicleheavy diesel,equipment use for repairing vehicles on going fires,7427
independent investigation for human resource branch,independent investigation for human resource branch,7428
margarine,cspsan quentin foodsrvice purchase order for margarineorder forfy 12 13,7429
order #14ms0515seapply cm #5909891,batching miscellaneous food contract vendor invoices for payment,7430
executive center with set in place fee,executive center with set in place fee,7431
hot asphalt,asphalt,7432
cc14020,1 black toner1 cyan tonerand 1 yellow toner for personnel,7433
evauation attempted repair old battery,evauation attempted repair old battery,7434
rack40u60 pwr cord us,rack40u60 pwr cord us,7435
amkusram accessory kit10 extension 2extra heads,amkusram accessory kit10 extension 2extra heads,7436
medical supplies,towelette antibacterial antimicrobialin unitized packaging100 per boxref brand saf # 3440,7437
confined space entry system,confined space entry system,7438
disposable medicine cups,disposable medicine cups,7439
3400sluvmpvhbiie flares,3400 slu vmp backfire flares and launchers used on emergency incident tostart backfires,7440
spray bottles,spray bottles,7441
licenses,licenses,7442
phone headset lifter,phone headset lifter,7443
office supply,aa batteries,7444
medical supplies,tripl antibiotic ointmt #1180gauze non sterile 2x2 #2208200gauzenon sterile 4x4 #8509papersoufl cups 3 4oz075 ,7445
san francisco estuary invasive spartina project,usgs will provide services to the state coastal conservancy,7446
extended warranty,extended warranty,7447
xerox copierservicemaintenance,copier,7448
sunny day learning rug,sunny day learning rug,7449
repair pumphydrostatic motor,repair pumphydrostatic motor,7450
soap,soapfoam for dispenser,7451
emergency tree removal at syrcc,fac emergency tree removal at syrcc,7452
jean wrk twill 40x36,jean wrk orange twill 40x36,7453
refrigerated trailer,refrigerated trailer to store food at usda standards of 34 degrees forperishables to support the mobile kitchen unit on going fire cameu008882,7454
pads,pads,7455
cheeseamericancheddarparmesan,cheeseamericancheddarparmesan,7456
diesel fuel,1389 gallons of diesel fuel for a state fire station,7457
various hot cereals,hot cereals,7458
aquacel ag #42772100,aquacel ag #42772100,7459
goodyear 185 65r15 integrity tires,goodyear 185 65r15 integrity tires,7460
wireetc,wireetc,7461
softwarelicense,softwarelicense,7462
